smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID
BRD-K81651477	BRD-K81651477-001-01-9	LSM-43089	LSM-4576
BRD-K81651477	BRD-K81651477-001-03-5	LSM-43089	LSM-4576
BRD-K28120222	BRD-K28120222-001-05-0	LSM-43090	LSM-4576
BRD-K28296557	BRD-K28296557-005-14-6	LSM-43091	LSM-4577
BRD-K28789065	BRD-K28789065-001-01-1	LSM-43092	LSM-4579
BRD-K33583600	BRD-K33583600-001-09-6	LSM-43093	LSM-4599
BRD-K38340366	BRD-K38340366-001-13-2	LSM-43094	LSM-4613
BRD-K38340366	BRD-K38340366-001-06-6	LSM-43094	LSM-4613
BRD-K38340366	BRD-K38340366-001-12-4	LSM-43094	LSM-4613
BRD-K42834456	BRD-K42834456-001-01-4	LSM-43095	LSM-4628
BRD-K54573313	BRD-K54573313-001-01-6	LSM-43096	LSM-4658
BRD-K56957086	BRD-K56957086-001-02-2	LSM-43097	LSM-4665
BRD-K56957086	BRD-K56957086-001-04-8	LSM-43097	LSM-4665
BRD-K60623809	BRD-K60623809-001-02-0	LSM-43098	LSM-4677
BRD-K60623809	BRD-K60623809-001-04-6	LSM-43098	LSM-4677
BRD-K63425657	BRD-K63425657-001-01-2	LSM-43099	LSM-4683
BRD-K64440589	BRD-K64440589-001-01-3	LSM-43100	LSM-4687
BRD-K67977190	BRD-K67977190-066-01-5	LSM-43101	LSM-4700
BRD-K74148702	BRD-K74148702-001-05-3	LSM-43102	LSM-4705
BRD-K74148702	BRD-K74148702-001-03-8	LSM-43102	LSM-4705
BRD-K70500696	BRD-K70500696-001-01-6	LSM-43103	LSM-4709
BRD-K70960308	BRD-K70960308-003-01-8	LSM-43104	LSM-4713
BRD-K71380401	BRD-K71380401-001-02-6	LSM-43105	LSM-4715
BRD-K85266146	BRD-K85266146-001-01-3	LSM-43106	LSM-4744
BRD-K85493820	BRD-K85493820-001-01-6	LSM-43107	LSM-4745
BRD-K86574132	BRD-K86574132-001-04-9	LSM-43108	LSM-4746
BRD-K89784888	BRD-K89784888-001-01-3	LSM-43109	LSM-4754
BRD-K89843224	BRD-K89843224-001-01-0	LSM-43110	LSM-4756
BRD-K91987625	BRD-K91987625-003-01-2	LSM-43111	LSM-4760
BRD-K96076993	BRD-K96076993-001-01-7	LSM-43112	LSM-4775
BRD-M41783010	BRD-M41783010-238-02-7	LSM-43113	LSM-4787
BRD-M41783010	BRD-M41783010-238-01-9	LSM-43113	LSM-4787
BRD-U88459701	BRD-U88459701-000-01-8	LSM-43114	LSM-4788
BRD-A28105619	BRD-A28105619-001-01-3	LSM-43115	LSM-4789
BRD-K65111630	BRD-K65111630-001-02-6	LSM-43116	LSM-4795
BRD-K22832646	BRD-K22832646-001-06-2	LSM-43117	LSM-4799
BRD-K30849099	BRD-K30849099-001-07-6	LSM-43118	LSM-4800
BRD-K62683350	BRD-K62683350-001-06-6	LSM-43119	LSM-4802
BRD-K78930611	BRD-K78930611-001-07-6	LSM-43120	LSM-4804
