smCenterCompoundID	smCenterSampleID	smLincsID	previousSmLincsID	expunge
BRD-K71879491	BRD-K71879491-001-22-6	LSM-42854	LSM-2135	0
BRD-K71879491	BRD-K71879491-001-29-1	LSM-42854	LSM-2135	0
BRD-K71879491	BRD-K71879491-001-30-9	LSM-42854	LSM-2135	0
BRD-K35483542	BRD-K35483542-001-03-1	LSM-42856	LSM-2135	0
BRD-K35483542	BRD-K35483542-001-04-9	LSM-42856	LSM-2135	0
BRD-K35483542	BRD-K35483542-001-05-6	LSM-42856	LSM-2135	0
BRD-K95253417	BRD-K95253417-001-01-1	LSM-42865	LSM-2159	0
BRD-K91485395	BRD-K91485395-001-01-9	LSM-42908	LSM-2467	0
BRD-K80738081	BRD-K80738081-001-21-1	LSM-42917	LSM-2557	0
BRD-K80738081	BRD-K80738081-001-33-6	LSM-42917	LSM-2557	0
BRD-K80738081	BRD-K80738081-001-23-7	LSM-42917	LSM-2557	0
BRD-K80738081	BRD-K80738081-001-32-8	LSM-42917	LSM-2557	0
BRD-K89085489	BRD-K89085489-001-11-7	LSM-42925	LSM-2616	0
BRD-K89085489	BRD-K89085489-001-10-9	LSM-42925	LSM-2616	0
BRD-K89085489	BRD-K89085489-001-14-1	LSM-42925	LSM-2616	0
BRD-K76425827	BRD-K76425827-001-01-2	LSM-42926	LSM-2620	0
BRD-K66956375	BRD-K66956375-001-09-7	LSM-42935	LSM-2694	0
BRD-K66956375	BRD-K66956375-001-05-5	LSM-42935	LSM-2694	0
BRD-K74402642	BRD-K74402642-003-01-2	LSM-42949	LSM-2827	0
BRD-K25375605	BRD-K25375605-001-01-9	LSM-42956	LSM-2909	0
BRD-K33586157	BRD-K33586157-001-01-3	LSM-43004	LSM-3480	0
BRD-K49685476	BRD-K49685476-001-09-2	LSM-43006	LSM-3525	0
BRD-K49685476	BRD-K49685476-001-11-8	LSM-43006	LSM-3525	0
BRD-K44094599	BRD-K44094599-001-02-9	LSM-43010	LSM-3557	1
BRD-K04993501	BRD-K04993501-002-01-7	LSM-43012	LSM-3590	1
BRD-K31534764	BRD-K31534764-050-01-7	LSM-43014	LSM-3625	0
BRD-K87432599	BRD-K87432599-001-01-1	LSM-43016	LSM-3629	0
BRD-K35573744	BRD-K35573744-001-05-0	LSM-43038	LSM-3976	0
BRD-K02130563	BRD-K02130563-001-06-4	LSM-43059	LSM-4284	0
BRD-K02130563	BRD-K02130563-001-05-6	LSM-43059	LSM-4284	0
BRD-A62025033	BRD-A62025033-001-01-8	LSM-43061	LSM-4295	0
BRD-A03898562	BRD-A03898562-001-02-7	LSM-43062	LSM-4307	1
BRD-A06935312	BRD-A06935312-001-02-7	LSM-43063	LSM-4315	1
BRD-A09186529	BRD-A09186529-001-01-5	LSM-43064	LSM-4325	1
BRD-A13946108	BRD-A13946108-001-13-0	LSM-43065	LSM-4338	0
BRD-A13946108	BRD-A13946108-001-03-1	LSM-43065	LSM-4338	0
BRD-A13946108	BRD-A13946108-001-12-2	LSM-43065	LSM-4338	0
BRD-A15914070	BRD-A15914070-001-01-5	LSM-43066	LSM-4344	1
BRD-A17658676	BRD-A17658676-001-02-2	LSM-43067	LSM-4347	1
BRD-A19248578	BRD-A19248578-001-02-9	LSM-43068	LSM-4352	1
BRD-A19248578	BRD-A19248578-001-03-7	LSM-43068	LSM-4352	1
BRD-A40787240	BRD-A40787240-066-02-0	LSM-43069	LSM-4428	1
BRD-A41114263	BRD-A41114263-001-01-7	LSM-43070	LSM-4429	1
BRD-A43409498	BRD-A43409498-001-02-4	LSM-43071	LSM-4437	1
BRD-A57300602	BRD-A57300602-001-01-3	LSM-43072	LSM-4450	1
BRD-A62809825	BRD-A62809825-001-01-7	LSM-43073	LSM-4454	1
BRD-A66395008	BRD-A66395008-001-03-8	LSM-43074	LSM-4458	1
BRD-A77216878	BRD-A77216878-001-01-4	LSM-43075	LSM-4477	1
BRD-A81530502	BRD-A81530502-001-01-6	LSM-43076	LSM-4483	1
BRD-A95820578	BRD-A95820578-001-01-4	LSM-43077	LSM-4499	1
BRD-A98888159	BRD-A98888159-001-01-5	LSM-43078	LSM-4504	1
BRD-K01192156	BRD-K01192156-001-03-5	LSM-43079	LSM-4509	1
BRD-K01192156	BRD-K01192156-001-02-7	LSM-43079	LSM-4509	1
BRD-K03600170	BRD-K03600170-001-01-1	LSM-43080	LSM-4514	1
BRD-K03600170	BRD-K03600170-001-08-6	LSM-43080	LSM-4514	1
BRD-K61033289	BRD-K61033289-001-01-2	LSM-43082	LSM-4516	1
BRD-K05396879	BRD-K05396879-001-06-7	LSM-43081	LSM-4516	1
BRD-K05396879	BRD-K05396879-001-05-9	LSM-43081	LSM-4516	1
BRD-K05396879	BRD-K05396879-001-02-6	LSM-43081	LSM-4516	1
BRD-K07572174	BRD-K07572174-001-19-6	LSM-43083	LSM-4521	1
BRD-K09854848	BRD-K09854848-001-01-0	LSM-43084	LSM-4526	1
BRD-K09997269	BRD-K09997269-001-01-7	LSM-43085	LSM-4528	1
BRD-K13872703	BRD-K13872703-304-01-8	LSM-43086	LSM-4542	1
BRD-K16798053	BRD-K16798053-001-01-0	LSM-43087	LSM-4556	1
BRD-K27316855	BRD-K27316855-001-10-9	LSM-43088	LSM-4573	1
BRD-K27316855	BRD-K27316855-001-09-1	LSM-43088	LSM-4573	1
BRD-K27316855	BRD-K27316855-001-02-6	LSM-43088	LSM-4573	1
