SM_LINCS_ID	SM_PubChemCID	SM_PubChem_SID
LSM-3400	9867770	85788200
LSM-3401	364622	85788708
LSM-3403	9918	85787930
LSM-3412	123015	85789116
LSM-3415	4302963	85787595
LSM-3419	9547215	85789438
LSM-3424	4214594	85788987
LSM-3426	3035905	85788104
LSM-3427	3210	85788538
LSM-3429	442128	85789321
LSM-3430	170344	85788576
LSM-3431	3930	85787691
LSM-3433	158794	85788179
LSM-3434	6713966	85787475
LSM-3435	44483281	85788199
LSM-3437	9844347	177748575
LSM-3438	11201705	85787672
LSM-3440	68591	177748800
LSM-3443	11313361	85789086
LSM-3445	6610310	85787742
LSM-3452	5994	85787485
LSM-3458	10252734	85788226
LSM-3460	4065	85788589
LSM-3461	6749166	85788198
LSM-3466	5024764	85787613
LSM-3470	50250	177748780
LSM-3477	5311304	85787879
LSM-3482	46916205	177749113
LSM-3484	134778	85788620
LSM-3490	122162	85787573
LSM-3494	115163	85788087
LSM-3496	3739	85787388
LSM-3497	4814	85787910
LSM-3500	44483287	85788223
LSM-3501	235382	85788643
LSM-3502	51173	85788601
LSM-3504	5284596	85787517
LSM-3505	9549305	85788227
LSM-3509	198693	85789019
LSM-3513	16759369	85787662
